modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
WiRecht-M35-F01...,Statistik,5,,Klausur,seminaristischer Unterricht
WiRecht-M11-F02...,Öffentliches Wirtschaftsrecht,5,,Klausur,seminaristischer Unterricht
WiRecht-M01-F01...,Einführung in das Studium,2,,Leistungstest (undifferenziert),Projektseminar
WiRecht-M34-F01...,Volkswirtschaftliche Rahmenbedingungen,5,,Klausur,Seminar
WiRecht-M02-F01...,Zivilrecht I,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M32-F0...,Projektmanagement und Fallstudien,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-WiIng-M33-F0...,Unternehmenssimulation mit Teamentwicklung und Supervision ,5,,Kombinierte Prüfung (undifferenziert),Übung
BA-WiIng-M34-F0...,Strategische Finanzplanung und Bewertung,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M36-F0...,Nachhaltiges Operations Management II,5,,Kombinierte Prüfung,seminaristischer Unterricht
BA-WiIng-M37-F0...,Analyse unternehmerischer Nachhaltigkeit,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M21-F0...,Statistik,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M22-F0...,Investition und Finanzierung,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M07-F0...,Business English II,0,,Kombinierte Prüfung,Übung
BA-WiIng-M07-F0...,Business English III,0,,Kombinierte Prüfung,Übung
BA-WiIng-M08-F0...,Einführung in die Umweltökonomie und nachhaltige Entwicklung,5,,Klausur,seminaristischer Unterricht
BA-WiIng-M09-F0...,Marketing,5,,Klausur,seminaristischer Unterricht
Wi-Inf-M12-F01,Sicherheit in der Informationstechnologie,5,,Kombinierte Prüfung,seminaristischer Unterricht
Wi-Inf-M37-F01,Praxisseminar,1,,Leistungstest (undifferenziert),Projektseminar, Action-learning
Wi-Inf-M17-F01,Unternehmenssoftware für KMU,5,,Kombinierte Prüfung,Übung am PC
Wi-Inf-M14-F01,IT Governance und IT Service Management,5,,Klausur,Praktische Übung
Wi-Inf-M10-F01,Projekt Software Engineering,10,,Projektdokumentation,Projektseminar, Action-learning
Wi-Inf-M28-F01,Volkswirtschaftliche Rahmenbedingungen,5,,Klausur,seminaristischer Unterricht
Wi-Inf-M04-F01,Datenbanken,10,,Klausur,seminaristischer Unterricht
Wi-Inf-M31-F01,Statistik,5,,Klausur,seminaristischer Unterricht
